Game,Peak_CCU,Pred_Days_Available,MAPE_7d,MAPE_14d,MAPE_30d,MAPE_All,Dir_Acc,Growth_Score,Stability_Score,Recommendation_Score,Business_Tier,D1_Retention_Percent,D3_Retention_Percent
(😨) Escape Evil ZooKeeper! (Obby),645,30,126.4%,96.6%,152.1%,152.1%,52%,0.24,0.4,18.4,D - LOW PRIORITY,10.7,5.2
+1 Food Every Second 🍔,"2,142",30,1641.3%,2038.6%,987.4%,987.4%,62%,0.24,0.4,18.4,D - LOW PRIORITY,12.0,5.9
+1 Speed Per Step to Escape⚡,"1,043",30,473.4%,1729.5%,1746.3%,1746.3%,45%,0.28,0.4,19.8,D - LOW PRIORITY,12.3,6.0
BN Roleplay,"1,452",30,85.4%,220.8%,208.1%,208.1%,45%,0.12,0.4,14.2,D - LOW PRIORITY,9.5,4.9
Build a Mining Machine⛏️,"10,041",30,42.0%,44.7%,58.4%,58.4%,59%,0.24,0.4,35.0,D - LOW PRIORITY,12.0,5.9
Care Bears Knockout ❄️,564,29,14.6%,19.4%,121.6%,121.6%,54%,0.43,0.5,27.5,D - LOW PRIORITY,11.7,6.2
Chase Train for Brainrots! 🚂 ,"16,645",30,118.7%,72.9%,44.5%,44.5%,59%,0.14,0.4,37.1,D - LOW PRIORITY,11.5,5.5
Craft Your Brainrot,"8,822",30,55.9%,49.2%,207.3%,207.3%,45%,0.15,0.4,15.2,D - LOW PRIORITY,11.5,5.6
Cut Grass! 🌿,"7,004",30,38.7%,39.7%,59.8%,59.8%,69%,0.18,0.4,32.4,D - LOW PRIORITY,11.7,5.7
Don't Steal the 99 Nights In The Fo,"1,034",30,1814.9%,1951.0%,944.8%,944.8%,48%,,,0.0,D - LOW PRIORITY,,
Dumbest Racing Simulator 🚗💨! NEW CO,672,30,1058.8%,1876.0%,1703.5%,1703.5%,62%,,,0.0,D - LOW PRIORITY,,
Emang Gini Laser 2,"6,609",30,150.1%,96.2%,70.9%,70.9%,41%,0.17,0.4,27.6,D - LOW PRIORITY,10.3,5.0
Escape the Hunter [Obby],"8,008",30,57.5%,74.7%,78.8%,78.8%,41%,0.09,0.4,21.6,D - LOW PRIORITY,9.9,4.8
Find 67! 🥭,"6,059",30,13.1%,27.1%,51.0%,51.0%,72%,0.07,0.4,32.0,D - LOW PRIORITY,8.6,4.1
Frisbee 🥏,"2,478",30,59.2%,52.0%,33.7%,33.7%,55%,0.18,0.4,42.8,C - WATCH & MONITOR,9.7,5.0
G0bby's World,"1,997",30,296.1%,455.8%,564.3%,564.3%,48%,0.11,0.4,13.8,D - LOW PRIORITY,9.4,4.8
Gear Troll Slap Laser Tower 💥,"2,162",30,159.7%,378.2%,708.8%,708.8%,55%,0.28,0.4,19.8,D - LOW PRIORITY,10.9,5.3
Grow A Candy Garden 🍭,"6,366",30,135.8%,101.9%,59.5%,59.5%,41%,0.14,0.4,31.1,D - LOW PRIORITY,11.5,5.6
IMPOSSIBLE KPop Demon Hunters Glass,"5,708",30,629.2%,433.6%,247.4%,247.4%,66%,,,0.0,D - LOW PRIORITY,,
Jail Troll Tower,"4,150",30,78.7%,58.3%,38.5%,38.5%,59%,0.2,0.4,41.6,C - WATCH & MONITOR,10.5,5.1
Like or Jail,"1,530",30,165.9%,134.8%,78.8%,78.8%,66%,0.35,0.5,33.2,D - LOW PRIORITY,11.3,6.0
SAMMY VS JANDEL GLASS BRIDGE!,"1,714",30,16.9%,55.1%,66.5%,66.5%,59%,0.29,0.4,33.5,D - LOW PRIORITY,11.0,5.4
Stud Simulator [BETA],"3,182",30,46.1%,91.7%,476.5%,476.5%,41%,0.19,0.4,16.6,D - LOW PRIORITY,11.8,5.7
Swim Down The Deepest Pool!,"1,089",30,101.8%,65.5%,46.5%,46.5%,66%,0.31,0.4,42.2,C - WATCH & MONITOR,12.4,6.1
Tower For VIP,"3,347",30,56.5%,61.9%,69.1%,69.1%,59%,0.13,0.4,26.9,D - LOW PRIORITY,10.1,4.9
Troll Tower Reborn 🔥,"2,294",30,60.6%,43.2%,107.5%,107.5%,45%,0.21,0.4,17.4,D - LOW PRIORITY,10.6,5.1
Trolls cannot break this tower 3,"12,446",30,1157.1%,995.3%,594.1%,594.1%,55%,0.19,0.4,16.6,D - LOW PRIORITY,10.5,5.1
Untitled Mexico🔥,"1,001",30,173.7%,217.8%,350.3%,350.3%,66%,0.38,0.76,32.3,D - LOW PRIORITY,13.3,7.2
Wall Hop Obby,"12,174",30,39.2%,31.9%,33.7%,33.7%,48%,0.06,0.4,38.6,D - LOW PRIORITY,9.8,4.7
[ UPD ] Build A Gym Tycoon 💪,827,30,352.3%,358.2%,223.4%,223.4%,38%,0.22,0.4,17.7,D - LOW PRIORITY,11.9,5.8
[RCL] Mount Velora,"2,579",30,131.6%,140.8%,153.8%,153.8%,59%,0.25,0.6,23.8,D - LOW PRIORITY,12.3,6.1
[UPD🔥] RIO - Combate na Favela FPS ,617,30,52.3%,130.3%,279.7%,279.7%,21%,,,0.0,D - LOW PRIORITY,,
[⚔️] Catch a Brainrot,"24,878",30,21.5%,35.7%,66.7%,66.7%,59%,0.16,0.4,28.9,D - LOW PRIORITY,11.6,5.6
[🎣] Gone Hunting,"5,145",30,329.6%,274.4%,312.6%,312.6%,45%,0.11,0.4,13.8,D - LOW PRIORITY,11.3,5.5
[🐶] IShowSpeed Tower,"5,322",30,86.6%,88.3%,84.5%,84.5%,34%,0.15,0.4,21.4,D - LOW PRIORITY,10.2,5.0
🐵 Monkey Punch Vs Bullies! ,"1,919",29,48.3%,53.1%,226.4%,226.4%,43%,0.36,0.4,22.6,D - LOW PRIORITY,10.6,5.6
💜 KPOP DEMON HUNTERS PRISON RUN! (O,"1,207",30,271.0%,275.1%,140.8%,140.8%,38%,,,0.0,D - LOW PRIORITY,,
💸Tap to Get Rich!,"29,393",30,50.0%,67.4%,79.1%,79.1%,59%,0.2,0.4,25.4,D - LOW PRIORITY,11.8,5.7
📖 Dig Out of Detention,"12,460",30,20.3%,23.8%,40.2%,40.2%,62%,0.14,0.4,38.8,D - LOW PRIORITY,9.5,4.9
🚨 Steal Anime!,"19,830",30,67.9%,78.1%,85.4%,85.4%,76%,0.12,0.4,20.0,D - LOW PRIORITY,11.4,5.5
